trade_id,date,side,entry_time,exit_time,underlying_entry,underlying_exit,h3,l3,h1,l1,strike,option_type,option_symbol,entry_premium,exit_premium,lots,lot_size,gross_pnl,charges,net_pnl,exit_reason,re_entry_number,regime_at_exit
1,2026-02-12,PUT,2026-02-12 09:23:00,2026-02-12 09:49:00,25840.40,25854.70,25906.70,25853.25,25856.60,25844.25,26100,PE,NIFTY26100PE,298.55,284.30,1,25,-356.25,59.60,-415.85,CANDLE_SL,0,A
2,2026-02-12,PUT,2026-02-12 11:07:00,2026-02-12 11:08:00,25845.15,25855.50,25906.70,25853.25,25856.60,25844.25,26100,PE,NIFTY26100PE,292.45,282.60,1,25,-246.25,59.47,-305.72,CANDLE_SL,1,A
1,2026-02-13,PUT,2026-02-13 09:35:00,2026-02-13 10:33:00,25549.20,25566.00,25630.35,25558.30,25567.75,25544.85,25750,PE,NIFTY25750PE,253.35,247.60,1,25,-143.75,57.91,-201.66,CANDLE_SL,0,A
2,2026-02-13,PUT,2026-02-13 10:50:00,2026-02-13 10:55:00,25547.55,25569.40,25630.35,25558.30,25567.75,25544.85,25750,PE,NIFTY25750PE,259.80,246.45,1,25,-333.75,57.97,-391.72,CANDLE_SL,1,A
1,2026-02-16,CALL,2026-02-16 09:20:00,2026-02-16 09:51:00,25467.80,25440.30,25458.00,25372.70,25472.20,25445.05,25200,CE,NIFTY25200CE,395.00,370.15,1,25,-621.25,63.44,-684.69,CANDLE_SL,0,A
2,2026-02-16,CALL,2026-02-16 09:55:00,2026-02-16 15:15:00,25475.45,25683.00,25458.00,25372.70,25472.20,25445.05,25200,CE,NIFTY25200CE,394.70,562.95,1,25,4206.25,69.00,4137.25,FORCE_EXIT,1,B
1,2026-02-17,PUT,2026-02-17 09:21:00,2026-02-17 09:33:00,25590.35,25612.35,25664.85,25591.00,25614.90,25580.45,25850,PE,NIFTY25850PE,317.25,296.50,1,25,-518.75,60.22,-578.97,CANDLE_SL,0,A
1,2026-02-18,PUT,2026-02-18 09:25:00,2026-02-18 09:27:00,25721.45,25735.85,25759.75,25705.40,25727.55,25704.40,25950,PE,NIFTY25950PE,269.20,256.25,1,25,-323.75,58.38,-382.13,CANDLE_SL,0,A
2,2026-02-18,PUT,2026-02-18 09:54:00,2026-02-18 10:58:00,25702.35,25703.90,25759.75,25705.40,25727.55,25704.40,25950,PE,NIFTY25950PE,284.20,278.60,1,25,-140.00,59.24,-199.24,PREMIUM_TRAIL_SL,1,B
1,2026-02-19,PUT,2026-02-19 09:28:00,2026-02-19 12:13:00,25813.05,25604.25,25885.30,25836.60,25851.90,25835.20,26050,PE,NIFTY26050PE,262.85,466.20,1,25,5083.75,64.36,5019.39,PREMIUM_TARGET,0,B
1,2026-02-23,CALL,2026-02-23 09:21:00,2026-02-23 10:13:00,25716.35,25708.95,25702.25,25626.50,25723.70,25690.80,25500,CE,NIFTY25500CE,256.90,249.15,1,25,-193.75,58.00,-251.75,PREMIUM_TRAIL_SL,0,B
